mes,receita_liquida,margem_bruta,transacoes,margem_percentual,crescimento_receita
2025-07,935678.22,338607.99,54,0.36188508267297276,0.0
2025-08,928412.89,349267.08999999997,54,0.3761980189654626,-0.007764774090819326
2025-09,969096.72,361210.18,54,0.3727287199981443,0.04382083708467244
2025-10,967266.26,361761.37,54,0.37400391697731705,-0.0018888310756020044
2025-11,997058.53,372966.34,54,0.3740666458166704,0.030800485070160644
2025-12,1020490.51,379500.99,54,0.37188095948094607,0.023501107803570953
2026-01,1054874.96,392893.7,54,0.37245523393597285,0.033694041897557536
2026-02,1076795.97,405209.39999999997,54,0.3763102865253108,0.020780671483566104
2026-03,1046734.8,398483.7,54,0.38069212946775055,-0.027917238583275883
2026-04,1094733.37,404140.79,54,0.3691682386552261,0.04585552137943627
2026-05,1120112.35,423184.57999999996,54,0.37780547638814976,0.023182795642741727
2026-06,1193482.77,451812.63,54,0.37856652928470846,0.06550273282854158
